chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
4	130780001	130800000	4	130780001	130955000	175000	20000	25.0850425420366	99.0%	0.004004004004004	18.160668145901
12	16520001	16540000	12	15525001	16540000	1015000	20000	5.62374369990824	97.0%	0.00800800800800801	16.121783091318
8	128345001	128365000	8	127695001	128365000	670000	20000	8.0144524555792	96.0%	0.00900900900900901	15.9227199021577
6	5375001	5400000	6	4535001	5400000	865000	25000	6.25905610365029	95.0%	0.009	14.5224909180935
15	103160001	103180000	15	102960001	103180000	220000	20000	28.7007341248686	99.0%	0.0135	14.5019789003831
1	106695001	106715000	1	106515001	106715000	200000	20000	21.458391146188	98.0%	0.006003003003003	13.233331144589
13	37940001	37965000	13	37425001	37965000	540000	25000	9.43764823616249	97.0%	0.0125065065065065	12.0275052998827
2	116890001	116910000	2	116890001	117490000	600000	20000	9.10100509379099	95.0%	0.013	11.8500209370641
13	75220001	75240000	13	75220001	76040000	820000	20000	6.22147829342768	95.0%	0.02	11.6693031508493
8	34805001	34830000	8	34175001	34830000	655000	25000	8.32782013669087	98.0%	0.011	11.6551875892734
6	127135001	127155000	6	127135001	127455000	320000	20000	14.5281629891629	97.0%	0.006503003003003	11.5848575243778
1	60940001	60965000	1	60095001	60965000	870000	25000	5.97861338051664	96.0%	0.012006006006006	10.9463315792974
15	56035001	56055000	15	55525001	56055000	530000	20000	11.6475155544753	95.0%	0.00900900900900901	10.5576829317827
10	17710001	17730000	10	16960001	17730000	770000	20000	7.05358809246228	98.0%	0.0075035035035035	10.3422990821325
4	63930001	63950000	4	63615001	63950000	335000	20000	14.1690822136856	97.0%	0.011	10.0888937598741
12	79605001	79635000	12	79605001	80135000	530000	30000	8.78023566168396	97.0%	0.0255125125125125	9.94660857606988
12	99075001	99100000	12	99075001	99965000	890000	25000	5.35552869130389	97.0%	0.0235115115115115	9.74838323580611
8	36170001	36190000	8	35845001	36190000	345000	20000	14.433715538977	98.0%	0.014014014014014	9.61449263529078
3	32485001	32505000	3	32325001	32505000	180000	20000	25.4656732699463	99.0%	0.0190065065065065	9.57907906191791
